"Items","r.drop","Objectified","Marginalized","Strong","Angry","objORTH","margORTH","strORTH","angORTH2","objOBLQ","margOBLQ","strOBLQ","angOBLQ","PAF_OR_Mar","PAF_OR_Obj","PAF_OR_Ang","PAF_OR_Str","PAF_OB_Mar","PAF_OB_Obj","PAF_OB_Ang","PAF_OB_Str"
"Obj1",0.344192813917741,0.55807435717548,0.0773704970733942,-0.0331772109296265,-0.055982175408525,0.685815184651159,0.0761112460577014,-0.100049284759652,-0.0943927499322417,0.684854966165805,0.0819502047646033,-0.0730535982806436,-0.0800213392305121,0.0698977986733669,0.638331400336083,-0.0804685797350354,-0.0843358532908814,0.0782307671899144,0.635823619059407,-0.0660331740308389,-0.0607499015320402
"Obj2",0.276450958317165,0.583634932559104,-0.0691960401110536,-0.0639899469669488,0.00825951535775357,0.719821228266474,-0.095498445615251,-0.142078179286935,-0.00097615695607322,0.724369848821014,-0.091558988604934,-0.112376950572205,0.0153492637115437,-0.0875119408756078,0.680716571899585,-0.00243206259787021,-0.124417708089073,-0.0808766004972134,0.684022607491044,0.0144468022450299,-0.0999176121915695
"Obj3",0.363696868965403,0.528065538631489,0.0117965431224875,0.0344114899313827,0.129684594319395,0.654388651684904,-0.0139213830645557,-0.0350784832724181,0.173790082804746,0.656724255831415,-0.0159607502523524,-0.00835247933819858,0.185481927849206,-0.0100067850375841,0.599612814016076,0.141609941568644,-0.0197765844574629,-0.0112708546448363,0.601425420233261,0.152200910409305,0.00156271739007061
"Obj4",0.350102904455038,0.527076467662899,0.0354019415157795,0.0349350320467486,0.0266820487601244,0.650589958026756,0.0182734670178211,0.00158009209040492,0.000524594213059577,0.650423564094948,0.0203345926846845,0.0277145959093607,0.0108284914384619,0.0188462342715724,0.591179080162445,-0.00025639751532461,0.00888000618043787,0.021976021932631,0.591016649795061,0.00868657980601443,0.0305230525131612
"Obj5",0.245030153173068,0.483916663788803,-0.146021435922408,0.149279305975129,0.0277211287126957,0.613577251954736,-0.212290871761768,0.142234826014686,0.0504068890948552,0.617704758631004,-0.213339001262091,0.168624714597054,0.0551616369011167,-0.185919965738858,0.559726823410596,0.0364913485915645,0.131178303915506,-0.18702851979634,0.566762971413599,0.0383671706301578,0.151380579243445
"Obj6",0.392166930394495,0.441982183770924,0.199988718776388,-0.0293343088719333,0.073534657502495,0.557746128823605,0.23144806477216,-0.108504826632389,0.0823269637634023,0.554196393016876,0.232406393309124,-0.0875694991267733,0.0951029569750385,0.204255990148211,0.500630504616067,0.0657151856012742,-0.0812195544546708,0.20655383828795,0.494601991678729,0.0782180393355179,-0.0629410465462095
"Obj7",0.404783828546154,0.478533745561547,0.212456978854551,0.0550312967857278,-0.0749532507025108,0.583190230320483,0.240643835630596,0.0506760474630048,-0.158697291011917,0.575673907387524,0.246149929377683,0.0723131860055247,-0.151126963818224,0.214038839653856,0.533933041295396,-0.125886357555471,0.047384579861008,0.220526439447613,0.526335933651328,-0.119506790178061,0.0678074683389018
"Obj8",0.278138327814079,0.428619146396438,-0.0152517155329543,0.130317537469841,-0.0163307864890116,0.540765508410403,-0.0411245949920425,0.147375619963788,-0.0598970206242972,0.539731938023315,-0.0395327386925503,0.169465171198974,-0.0564434463443662,-0.0324103868931752,0.477159773994037,-0.0457279260486313,0.12392567394003,-0.0308507769790414,0.478402950667004,-0.0445499943864463,0.14167284113392
"Obj9",0.336955270005809,0.376124524120297,0.0633501997261618,0.173109451955188,0.0832209693788694,0.469867484091463,0.0427218092006998,0.215830852065236,0.106610228235546,0.466998776115443,0.0389768688741998,0.234687328628651,0.106675757092142,0.041440243096312,0.410351451155577,0.0781906913095073,0.178587646381329,0.0370043918822928,0.410037269165345,0.0758083998414053,0.193676094328736
"Obj10",0.309471772821408,0.374900298859578,0.0757535478118032,0.175039781911447,-0.0366371228005771,0.469866400887336,0.059612755086903,0.253020072724737,-0.0980138483023333,0.464652040099704,0.0607885435254455,0.271508427356755,-0.0993148237943276,0.0530747176044013,0.413795431920402,-0.0713173133837193,0.204873132473833,0.0534211039324585,0.412031838287641,-0.0750817666197231,0.220691476869281
