"ID","iRace1","iRace2","iRace3","iRace4","iRace5","iRace6","iRace7","iRace8","iRace9","iRace10","cmBiMulti","cmBlack","cmNBPoC","cmWhite","cmUnsure","Blst_1","Blst_2","Blst_3","Blst_4","Blst_5","Blst_6","cEval_8","cEval_9","cEval_10","cEval_11","cEval_12","cEval_13","cEval_14","cEval_15","cEval_20","cEval_16","cEval_17"
40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,8,8,79,0,5,2,3,2,2,2,5,4,3,4,3,4,5,4,3,4,4
45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,3,3,3,1,NA,NA,NA,NA,NA,NA,0,10,20,70,0,6,1,1,1,1,1,3,3,3,3,2,4,5,4,4,4,3
49,1,3,NA,NA,NA,NA,NA,NA,NA,NA,17,0,25,58,0,7,1,1,1,1,1,5,5,5,5,5,5,5,4,4,5,5
50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,5,70,15,0,5,4,2,2,2,5,4,2,4,4,2,4,2,4,4,4,2
55,3,3,3,NA,NA,NA,NA,NA,NA,NA,0,12,24,64,0,4,2,1,2,2,2,5,4,5,3,5,4,3,2,2,3,2
56,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,20,80,0,6,1,1,2,1,1,1,2,1,1,1,1,1,1,3,1,1
57,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,3,3,NA,NA,NA,NA,NA,NA,NA,NA,0,10,5,85,0,3,4,4,4,4,5,4,2,3,3,2,2,1,2,2,1,2
63,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,10,21,64,0,1,4,2,1,1,1,5,3,5,2,2,5,5,2,3,1,1
64,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,100,0,2,5,4,3,4,3,4,4,2,2,1,3,3,1,1,4,1
65,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,0,0,80,0,4,4,4,4,2,4,5,5,4,2,5,3,3,3,3,4,2
66,3,3,NA,NA,NA,NA,NA,NA,NA,NA,10,0,30,60,0,3,4,3,4,4,6,3,2,3,2,5,4,3,4,3,4,1
67,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,10,15,70,0,1,1,1,1,1,1,4,5,4,3,5,3,3,2,4,3,3
68,3,3,NA,NA,NA,NA,NA,NA,NA,NA,5,5,40,50,0,2,4,2,5,5,5,5,3,4,3,5,4,5,4,5,5,2
69,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10,30,50,0,7,1,1,1,1,1,5,3,5,2,5,5,1,3,2,2,1
70,3,3,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,100,0,NA,NA,NA,NA,NA,NA,4,4,2,3,5,3,1,3,1,1,1
