"","lhs","op","rhs","est","se","pval","confint","est_sig","est_std","se_std","pval_std","confint_std","est_sig_std","block","group","label","lavaan_label"
"99","Help5","~~","Help5","0.450","0.046","0.000","[0.359, 0.540]","0.450***","0.637","0.045","0.000","[0.550, 0.725]","0.637***","2.000","Severe","Variances.Help5.Severe",""
"100","Min1","~~","Min1","0.476","0.055","0.000","[0.369, 0.583]","0.476***","0.733","0.062","0.000","[0.611, 0.855]","0.733***","2.000","Severe","Variances.Min1.Severe",""
"101","Min2","~~","Min2","0.493","0.050","0.000","[0.394, 0.591]","0.493***","0.797","0.051","0.000","[0.697, 0.896]","0.797***","2.000","Severe","Variances.Min2.Severe",""
"102","Min3","~~","Min3","0.539","0.051","0.000","[0.439, 0.640]","0.539***","0.847","0.042","0.000","[0.766, 0.929]","0.847***","2.000","Severe","Variances.Min3.Severe",""
"103","Per1","~~","Per1","0.541","0.052","0.000","[0.438, 0.643]","0.541***","0.718","0.040","0.000","[0.639, 0.798]","0.718***","2.000","Severe","Variances.Per1.Severe",""
"104","Per2","~~","Per2","0.437","0.045","0.000","[0.349, 0.525]","0.437***","0.654","0.045","0.000","[0.567, 0.742]","0.654***","2.000","Severe","Variances.Per2.Severe",""
"105","Per3","~~","Per3","0.414","0.043","0.000","[0.331, 0.498]","0.414***","0.645","0.045","0.000","[0.556, 0.735]","0.645***","2.000","Severe","Variances.Per3.Severe",""
"106","Per4","~~","Per4","0.512","0.047","0.000","[0.420, 0.605]","0.512***","0.784","0.035","0.000","[0.715, 0.852]","0.784***","2.000","Severe","Variances.Per4.Severe",""
"107","Per5","~~","Per5","0.722","0.064","0.000","[0.596, 0.849]","0.722***","0.846","0.028","0.000","[0.791, 0.902]","0.846***","2.000","Severe","Variances.Per5.Severe",""
"108","Oth1","~~","Oth1","0.490","0.049","0.000","[0.394, 0.585]","0.490***","0.647","0.044","0.000","[0.561, 0.733]","0.647***","2.000","Severe","Variances.Oth1.Severe",""
"109","Oth2","~~","Oth2","0.393","0.039","0.000","[0.317, 0.469]","0.393***","0.659","0.044","0.000","[0.572, 0.745]","0.659***","2.000","Severe","Variances.Oth2.Severe",""
"110","Oth3","~~","Oth3","0.468","0.046","0.000","[0.378, 0.559]","0.468***","0.659","0.043","0.000","[0.574, 0.744]","0.659***","2.000","Severe","Variances.Oth3.Severe",""
"111","Oth4","~~","Oth4","0.585","0.054","0.000","[0.480, 0.690]","0.585***","0.772","0.037","0.000","[0.700, 0.844]","0.772***","2.000","Severe","Variances.Oth4.Severe",""
"112","Oth5","~~","Oth5","0.407","0.037","0.000","[0.335, 0.478]","0.407***","0.798","0.035","0.000","[0.729, 0.867]","0.798***","2.000","Severe","Variances.Oth5.Severe",""
"113","Oth6","~~","Oth6","0.518","0.046","0.000","[0.429, 0.607]","0.518***","0.856","0.029","0.000","[0.799, 0.913]","0.856***","2.000","Severe","Variances.Oth6.Severe",""
