"","lhs","op","rhs","est","se","pval","confint","est_sig","est_std","se_std","pval_std","confint_std","est_sig_std","block","group","label","lavaan_label"
"63","Feedback","~~","Feedback","0.381","0.036","0.000","[0.311, 0.452]","0.381***","0.407","0.059","0.000","[0.291, 0.523]","0.407***","2.000","ORG","Variances.Feedback.ORG",".p18."
"64","ClearOrganization","~~","ClearOrganization","0.422","0.042","0.000","[0.340, 0.504]","0.422***","0.315","0.051","0.000","[0.214, 0.415]","0.315***","2.000","ORG","Variances.ClearOrganization.ORG",".p19."
"65","ClearPresentation","~~","ClearPresentation","0.219","0.024","0.000","[0.171, 0.267]","0.219***","0.210","0.039","0.000","[0.133, 0.287]","0.210***","2.000","ORG","Variances.ClearPresentation.ORG",".p20."
"66","ValObjectives","~~","ValObjectives","0.250","0.023","0.000","[0.204, 0.295]","0.250***","0.763","0.058","0.000","[0.649, 0.877]","0.763***","2.000","ORG","Variances.ValObjectives.ORG",".p21."
"67","IncrUnderstanding","~~","IncrUnderstanding","0.238","0.030","0.000","[0.178, 0.297]","0.238***","0.433","0.073","0.000","[0.291, 0.575]","0.433***","2.000","ORG","Variances.IncrUnderstanding.ORG",".p22."
"68","IncrInterest","~~","IncrInterest","0.301","0.041","0.000","[0.221, 0.380]","0.301***","0.405","0.072","0.000","[0.263, 0.546]","0.405***","2.000","ORG","Variances.IncrInterest.ORG",".p23."
"69","MultPerspectives","~~","MultPerspectives","0.204","0.028","0.000","[0.148, 0.260]","0.204***","0.280","0.056","0.000","[0.170, 0.390]","0.280***","2.000","ORG","Variances.MultPerspectives.ORG",".p24."
"70","InclusvClassrm","~~","InclusvClassrm","0.227","0.023","0.000","[0.183, 0.271]","0.227***","0.528","0.069","0.000","[0.392, 0.663]","0.528***","2.000","ORG","Variances.InclusvClassrm.ORG",".p25."
"71","DEIintegration","~~","DEIintegration","0.370","0.034","0.000","[0.303, 0.438]","0.370***","0.669","0.067","0.000","[0.538, 0.799]","0.669***","2.000","ORG","Variances.DEIintegration.ORG",".p26."
"72","EquitableEval","~~","EquitableEval","0.197","0.020","0.000","[0.157, 0.237]","0.197***","0.475","0.068","0.000","[0.343, 0.608]","0.475***","2.000","ORG","Variances.EquitableEval.ORG",".p27."
"73","TradPed","~~","TradPed","0.544","0.112","0.000","[0.325, 0.764]","0.544***","1.000","0.000",NA,"[1.000, 1.000]","1.000","2.000","ORG","Variances.TradPed.ORG",""
"74","Valued","~~","Valued","0.077","0.023","0.001","[0.032, 0.123]","0.077***","1.000","0.000",NA,"[1.000, 1.000]","1.000","2.000","ORG","Variances.Valued.ORG",""
"75","SCRPed","~~","SCRPed","0.525","0.116","0.000","[0.298, 0.752]","0.525***","1.000","0.000",NA,"[1.000, 1.000]","1.000","2.000","ORG","Variances.SCRPed.ORG",""
"76","ClearResponsibilities","~1","","4.514","0.052","0.000","[4.413, 4.615]","4.514***","5.200","0.393","0.000","[4.430, 5.971]","5.200***","2.000","ORG","Means.ClearResponsibilities.ORG",".p31."
"77","EffectiveAnswers","~1","","4.429","0.053","0.000","[4.324, 4.533]","4.429***","4.952","0.379","0.000","[4.210, 5.694]","4.952***","2.000","ORG","Means.EffectiveAnswers.ORG",".p32."
"78","Feedback","~1","","4.297","0.058","0.000","[4.183, 4.411]","4.297***","4.439","0.303","0.000","[3.845, 5.033]","4.439***","2.000","ORG","Means.Feedback.ORG",".p33."
"79","ClearOrganization","~1","","4.087","0.069","0.000","[3.951, 4.222]","4.087***","3.527","0.262","0.000","[3.013, 4.042]","3.527***","2.000","ORG","Means.ClearOrganization.ORG",".p34."
"80","ClearPresentation","~1","","4.298","0.061","0.000","[4.179, 4.417]","4.298***","4.207","0.337","0.000","[3.546, 4.868]","4.207***","2.000","ORG","Means.ClearPresentation.ORG",".p35."
"81","ValObjectives","~1","","4.535","0.040","0.000","[4.458, 4.613]","4.535***","7.931","0.385","0.000","[7.175, 8.686]","7.931***","2.000","ORG","Means.ValObjectives.ORG",".p36."
"82","IncrUnderstanding","~1","","4.277","0.058","0.000","[4.162, 4.391]","4.277***","5.773","0.417","0.000","[4.956, 6.590]","5.773***","2.000","ORG","Means.IncrUnderstanding.ORG",".p37."
"83","IncrInterest","~1","","3.961","0.069","0.000","[3.827, 4.096]","3.961***","4.595","0.346","0.000","[3.916, 5.273]","4.595***","2.000","ORG","Means.IncrInterest.ORG",".p38."
"84","MultPerspectives","~1","","4.470","0.058","0.000","[4.356, 4.583]","4.470***","5.236","0.418","0.000","[4.416, 6.055]","5.236***","2.000","ORG","Means.MultPerspectives.ORG",".p39."
"85","InclusvClassrm","~1","","4.685","0.043","0.000","[4.601, 4.770]","4.685***","7.146","0.443","0.000","[6.278, 8.013]","7.146***","2.000","ORG","Means.InclusvClassrm.ORG",".p40."
"86","DEIintegration","~1","","4.557","0.048","0.000","[4.463, 4.651]","4.557***","6.124","0.330","0.000","[5.476, 6.771]","6.124***","2.000","ORG","Means.DEIintegration.ORG",".p41."
"87","EquitableEval","~1","","4.600","0.043","0.000","[4.516, 4.683]","4.600***","7.141","0.467","0.000","[6.227, 8.056]","7.141***","2.000","ORG","Means.EquitableEval.ORG",".p42."
"88","TradPed","~1","","-0.096","0.105","0.362","[-0.303, 0.110]","-0.096","-0.130","0.143","0.363","[-0.411, 0.150]","-0.130","2.000","ORG","Means.TradPed.ORG",""
"89","Valued","~1","","0.047","0.048","0.328","[-0.047, 0.142]","0.047","0.169","0.173","0.329","[-0.171, 0.509]","0.169","2.000","ORG","Means.Valued.ORG",""
"90","SCRPed","~1","","-0.099","0.113","0.380","[-0.319, 0.122]","-0.099","-0.136","0.156","0.382","[-0.442, 0.169]","-0.136","2.000","ORG","Means.SCRPed.ORG",""
